case_uid,anotator,segment,adjudikovano,kvalita,kvalita_cervenec,zmena_kvalita,dopad,dopad_cervenec,zmena_dopad,vhodnost,vhodnost_cervenec,zmena_vhodnost
exp2824,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,3.0,3.0,0.0
exp2823,A12,beze_zmeny,0,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,3.0,3.0,0.0
exp2822,A12,beze_zmeny,0,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,2.0,2.0,0.0
exp2821,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,3.0,3.0,0.0
exp2820,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,4.0,4.0,0.0
exp2818,A12,zmeneno,1,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,3.0,2.0,1.0
exp2817,A12,beze_zmeny,0,Plná,Plná,0.0,Krátkodobý úspěch,Krátkodobý úspěch,0.0,2.0,2.0,0.0
exp2816,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,4.0,4.0,0.0
exp2815,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,2.0,2.0,0.0
exp2814,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,3.0,3.0,0.0
exp2813,A12,beze_zmeny,0,Plná,Plná,0.0,Dlouhodobý úspěch,Dlouhodobý úspěch,0.0,3.0,3.0,0.0
